baseline_run,scenario,scenario_run,indicator,baseline_mean_2020_2100,scenario_mean_2020_2100,delta_mean_reporting,delta_mean_reporting_pct,baseline_mean_2100,scenario_mean_2100,delta_mean_2100,status,notes
20260216_193413,policy_package_circularity,20260216_193551,import_reliance_frac,0.042826458370487874,0.0024451702011986506,-0.04038128816928922,-0.942905150361823,0.018323040332835612,1.2384943870236188e-18,-0.018323040332835612,ok,
20260216_193413,policy_package_circularity,20260216_193551,apparent_consumption_kt_per_yr,3660.994829112864,3182.3025637650458,-478.6922653478182,-0.13075469583873064,5205.663030679514,4202.613654277217,-1003.0493764022967,ok,
20260216_193413,policy_package_circularity,20260216_193551,eol_rr_frac,0.3749999999999807,0.3806718518518292,0.005671851851848542,0.01512493827159689,0.37499999999997824,0.3810449999999705,0.006044999999992251,ok,
20260216_193413,policy_package_circularity,20260216_193551,eol_rir_frac,0.1656485139808145,0.10084455592869934,-0.06480395805211517,-0.39121363962021893,0.17323314425742314,0.07990697880478884,-0.09332616545263431,ok,
20260216_193413,policy_package_circularity,20260216_193551,stockpile_cover_years,214.1687702544233,4137.292811850231,3923.124041595808,18.31790898801588,324.5975745741775,7617.162623409379,7292.565048835202,ok,
20260216_193413,policy_package_circularity,20260216_193551,utilization_rate_ur_frac,0.7391385309099915,0.4575969475762548,-0.2815415833337367,-0.3809050287056695,0.7549034947610941,0.43586735490015927,-0.3190361398609348,ok,
20260216_193413,policy_package_circularity,20260216_193551,buffer_coverage_years,214.1687702544233,4137.292811850231,3923.124041595808,18.31790898801588,324.5975745741775,7617.162623409379,7292.565048835202,ok,
20260216_193413,r_collection_push,20260216_193430,import_reliance_frac,0.042826458370487874,0.04211136203590781,-0.0007150963345800634,-0.01669753609775127,0.018323040332835612,0.018403544681632744,8.050434879713214e-05,ok,
20260216_193413,r_collection_push,20260216_193430,apparent_consumption_kt_per_yr,3660.994829112864,3678.5667175124577,17.571888399593718,0.0047997577761812234,5205.663030679514,5238.2828404011225,32.61980972160836,ok,
20260216_193413,r_collection_push,20260216_193430,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.3749999999999783,5.551115123125783e-17,ok,
20260216_193413,r_collection_push,20260216_193430,eol_rir_frac,0.1656485139808145,0.16769087508662878,0.0020423611058142666,0.01232948643324874,0.17323314425742314,0.17546101469559447,0.0022278704381713255,ok,
20260216_193413,r_collection_push,20260216_193430,stockpile_cover_years,214.1687702544233,214.30008693849726,0.13131668407396546,0.0006131458098114253,324.5975745741775,324.8937962407628,0.2962216665853248,ok,
20260216_193413,r_collection_push,20260216_193430,utilization_rate_ur_frac,0.7391385309099915,0.7367773748990616,-0.002361156010929899,-0.0031944702003600845,0.7549034947610941,0.7514140713468317,-0.0034894234142623937,ok,
20260216_193413,r_collection_push,20260216_193430,buffer_coverage_years,214.1687702544233,214.30008693849726,0.13131668407396546,0.0006131458098114253,324.5975745741775,324.8937962407628,0.2962216665853248,ok,
20260216_193413,r_demand_reduction,20260216_193534,import_reliance_frac,0.042826458370487874,0.0024451702011986506,-0.04038128816928922,-0.942905150361823,0.018323040332835612,1.2384943870236188e-18,-0.018323040332835612,ok,
20260216_193413,r_demand_reduction,20260216_193534,apparent_consumption_kt_per_yr,3660.994829112864,3184.2813806322424,-476.71344848062154,-0.13021418241012353,5205.663030679514,4205.330931889584,-1000.3320987899306,ok,
20260216_193413,r_demand_reduction,20260216_193534,eol_rr_frac,0.3749999999999807,0.37499999999997724,-3.4416913763379853e-15,-9.1778436702351e-15,0.37499999999997824,0.37499999999997014,-8.104628079763643e-15,ok,
20260216_193413,r_demand_reduction,20260216_193534,eol_rir_frac,0.1656485139808145,0.09943292695247127,-0.06621558702834324,-0.39973547264065623,0.17323314425742314,0.0788225043438377,-0.09441063991358545,ok,
20260216_193413,r_demand_reduction,20260216_193534,stockpile_cover_years,214.1687702544233,4119.352559093453,3905.18378883903,18.234142093638766,324.5975745741775,7588.219772674488,7263.622198100311,ok,
20260216_193413,r_demand_reduction,20260216_193534,utilization_rate_ur_frac,0.7391385309099915,0.4578660869532565,-0.281272443956735,-0.3805409029487964,0.7549034947610941,0.4361172157507933,-0.31878627901030077,ok,
20260216_193413,r_demand_reduction,20260216_193534,buffer_coverage_years,214.1687702544233,4119.352559093453,3905.18378883903,18.234142093638766,324.5975745741775,7588.219772674488,7263.622198100311,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,import_reliance_frac,0.042826458370487874,0.04176175156095941,-0.0010647068095284637,-0.024860958623236597,0.018323040332835612,0.018396405790455435,7.336545761982283e-05,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,apparent_consumption_kt_per_yr,3660.994829112864,3646.925634121247,-14.069194991616769,-0.0038429977774718767,5205.663030679514,5171.342755397687,-34.32027528182698,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,eol_rr_frac,0.3749999999999807,0.38067185185183255,0.005671851851851872,0.015124938271605772,0.37499999999997824,0.38104499999997826,0.006045000000000023,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,eol_rir_frac,0.1656485139808145,0.16761814230700123,0.0019696283261867176,0.011890407458861,0.17323314425742314,0.17539306512223432,0.0021599208648111767,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,stockpile_cover_years,214.1687702544233,214.36475290087276,0.1959826464494654,0.0009150850808763875,324.5975745741775,325.03893663098825,0.44136205681076035,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,utilization_rate_ur_frac,0.7391385309099915,0.7356285836276069,-0.003509947282384629,-0.004748700190292275,0.7549034947610941,0.7497805305951515,-0.005122964165942601,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,buffer_coverage_years,214.1687702544233,214.36475290087276,0.1959826464494654,0.0009150850808763875,324.5975745741775,325.0389366309883,0.4413620568108172,ok,
20260216_193413,r_lifetime_extension,20260216_193518,import_reliance_frac,0.042826458370487874,0.042950741913943186,0.00012428354345531134,0.002902027115577606,0.018323040332835612,0.01844134675533442,0.00011830642249880882,ok,
20260216_193413,r_lifetime_extension,20260216_193518,apparent_consumption_kt_per_yr,3660.994829112864,3650.5232201636036,-10.471608949260371,-0.0028603178747995837,5205.663030679514,5191.517785324549,-14.145245354965482,ok,
20260216_193413,r_lifetime_extension,20260216_193518,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.3749999999999783,5.551115123125783e-17,ok,
20260216_193413,r_lifetime_extension,20260216_193518,eol_rir_frac,0.1656485139808145,0.16463072625404696,-0.001017787726767555,-0.0061442611364774195,0.17323314425742314,0.17292696211694883,-0.0003061821404743148,ok,
20260216_193413,r_lifetime_extension,20260216_193518,stockpile_cover_years,214.1687702544233,214.08739039425274,-0.0813798601705571,-0.00037998005065762537,324.5975745741775,324.45800176376906,-0.13957281040842417,ok,
20260216_193413,r_lifetime_extension,20260216_193518,utilization_rate_ur_frac,0.7391385309099915,0.7403135023856987,0.0011749714757072205,0.0015896498782990687,0.7549034947610941,0.7551870714625252,0.0002835767014310875,ok,
20260216_193413,r_lifetime_extension,20260216_193518,buffer_coverage_years,214.1687702544233,214.08739039425274,-0.0813798601705571,-0.00037998005065762537,324.5975745741775,324.4580017637691,-0.13957281040836733,ok,
20260216_193413,r_reuse_reman,20260216_193502,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,r_reuse_reman,20260216_193502,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,apparent_consumption_kt_per_yr,3660.994829112864,3662.3486061940444,1.3537770811803966,0.00036978393698208127,5205.663030679514,5208.54248472273,2.8794540432154463,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,eol_rir_frac,0.1656485139808145,0.16594762217468842,0.0002991081938739093,0.0018056799103465073,0.17323314425742314,0.1736523096043564,0.000419165346933259,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,stockpile_cover_years,214.1687702544233,214.11055862761813,-0.05821162680516068,-0.0002718025916477354,324.5975745741775,324.47608465220924,-0.12148992196824793,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,utilization_rate_ur_frac,0.7391385309099915,0.7400497069620754,0.0009111760520839063,0.0012327540968025447,0.7549034947610941,0.755837762517416,0.0009342677563218826,ok,
20260216_193413,shock_battery_demand_boom_eu27,20260216_193656,buffer_coverage_years,214.1687702544233,214.11055862761813,-0.05821162680516068,-0.0002718025916477354,324.5975745741775,324.47608465220924,-0.12148992196824793,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_combo_refining_export,20260216_193712,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_export_restriction_chn_to_eu27,20260216_193640,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_mining_disruption_chn,20260216_193607,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,apparent_consumption_kt_per_yr,3660.994829112864,3660.994829112864,0.0,0.0,5205.663030679514,5205.663030679514,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.37499999999997824,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,eol_rir_frac,0.1656485139808145,0.1656485139808145,0.0,0.0,0.17323314425742314,0.17323314425742314,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,stockpile_cover_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,utilization_rate_ur_frac,0.7391385309099915,0.7391385309099915,0.0,0.0,0.7549034947610941,0.7549034947610941,0.0,ok,
20260216_193413,shock_refining_bottleneck_chn,20260216_193624,buffer_coverage_years,214.1687702544233,214.1687702544233,0.0,0.0,324.5975745741775,324.5975745741775,0.0,ok,
